Gage height (ft),Discharge (ft^3/s)
4,0.88
4.01,0.99
4.02,1.1
4.03,1.21
4.04,1.33
4.05,1.46
4.06,1.6
4.07,1.74
4.08,1.89
4.09,2.05
4.1,2.22
4.11,2.39
4.12,2.57
4.13,2.75
4.14,2.95
4.15,3.15
4.16,3.36
4.17,3.58
4.18,3.81
4.19,4.04
4.2,4.28
4.21,4.53
4.22,4.79
4.23,5.06
4.24,5.33
4.25,5.62
4.26,5.91
4.27,6.21
4.28,6.52
4.29,6.84
4.3,7.16
4.31,7.5
4.32,7.84
4.33,8.2
4.34,8.56
4.35,8.93
4.36,9.31
4.37,9.7
4.38,10.1
4.39,10.51
4.4,10.92
4.41,11.35
4.42,11.79
4.43,12.23
4.44,12.69
4.45,13.15
4.46,13.63
4.47,14.11
4.48,14.61
4.49,15.11
4.5,15.63
4.51,16.15
4.52,16.68
4.53,17.23
4.54,17.78
4.55,18.34
4.56,18.92
4.57,19.5
4.58,20.1
4.59,20.7
4.6,21.32
4.61,21.94
4.62,22.58
4.63,23.23
4.64,23.88
4.65,24.55
4.66,25.23
4.67,25.92
4.68,26.62
4.69,27.33
4.7,28.05
4.71,28.78
4.72,29.52
4.73,30.28
4.74,31.04
4.75,31.82
4.76,32.61
4.77,33.4
4.78,34.21
4.79,35.03
4.8,35.86
4.81,36.71
4.82,37.56
4.83,38.43
4.84,39.3
4.85,40.19
4.86,41.09
4.87,42
4.88,42.92
4.89,43.86
4.9,44.8
4.91,45.76
4.92,46.73
4.93,47.71
4.94,48.7
4.95,49.71
4.96,50.72
4.97,51.75
4.98,52.79
4.99,53.84
5,54.91
5.01,55.98
5.02,57.07
5.03,58.17
5.04,59.28
5.05,60.41
5.06,61.54
5.07,62.69
5.08,63.85
5.09,65.03
5.1,66.21
5.11,67.41
5.12,68.62
5.13,69.84
5.14,71.08
5.15,72.32
5.16,73.58
5.17,74.86
5.18,76.14
5.19,77.44
5.2,78.75
5.21,80.07
5.22,81.41
5.23,82.76
5.24,84.12
5.25,85.49
5.26,86.88
5.27,88.28
5.28,89.69
5.29,91.12
5.3,92.56
5.31,94.01
5.32,95.47
5.33,96.95
5.34,98.44
5.35,99.94
5.36,101.46
5.37,102.99
5.38,104.53
5.39,106.09
5.4,107.66
5.41,109.24
5.42,110.84
5.43,112.45
5.44,114.07
5.45,115.71
5.46,117.36
5.47,119.02
5.48,120.7
5.49,122.39
5.5,124.09
5.51,125.81
5.52,127.54
5.53,129.29
5.54,131.05
5.55,132.82
5.56,134.6
5.57,136.4
5.58,138.22
5.59,140.04
5.6,141.89
5.61,143.74
5.62,145.61
5.63,147.49
5.64,149.39
5.65,151.3
5.66,153.22
5.67,155.16
5.68,157.11
5.69,159.08
5.7,161.06
5.71,163.06
5.72,165.07
5.73,167.09
5.74,169.13
5.75,171.18
5.76,173.25
5.77,175.33
5.78,177.42
5.79,179.53
5.8,181.65
5.81,183.79
5.82,185.94
5.83,188.11
5.84,190.29
5.85,192.49
5.86,194.7
5.87,196.92
5.88,199.16
5.89,201.41
5.9,203.68
5.91,205.96
5.92,208.26
5.93,210.57
5.94,212.9
5.95,215.24
5.96,217.6
5.97,219.97
5.98,222.36
5.99,224.76
6,227.17
6.01,229.5
6.02,231.84
6.03,234.19
6.04,236.55
6.05,238.93
6.06,241.32
6.07,243.73
6.08,246.15
6.09,248.59
6.1,251.03
6.11,253.49
6.12,255.97
6.13,258.46
6.14,260.96
6.15,263.48
6.16,266.01
6.17,268.56
6.18,271.11
6.19,273.69
6.2,276.27
6.21,278.88
6.22,281.49
6.23,284.12
6.24,286.76
6.25,289.42
6.26,292.09
6.27,294.78
6.28,297.48
6.29,300.19
6.3,302.92
6.31,305.66
6.32,308.42
6.33,311.19
6.34,313.97
6.35,316.77
6.36,319.59
6.37,322.41
6.38,325.26
6.39,328.11
6.4,330.98
6.41,333.87
6.42,336.77
6.43,339.68
6.44,342.61
6.45,345.56
6.46,348.51
6.47,351.49
6.48,354.47
6.49,357.47
6.5,360.49
6.51,363.52
6.52,366.57
6.53,369.63
6.54,372.7
6.55,375.79
6.56,378.89
6.57,382.01
6.58,385.15
6.59,388.29
6.6,391.46
6.61,394.63
6.62,397.83
6.63,401.03
6.64,404.22
6.65,407.26
6.66,410.32
6.67,413.39
6.68,416.47
6.69,419.57
6.7,422.68
6.71,425.8
6.72,428.93
6.73,432.07
6.74,435.23
6.75,438.4
6.76,441.59
6.77,444.78
6.78,447.99
6.79,451.22
6.8,454.45
6.81,457.7
6.82,460.96
6.83,464.23
6.84,467.52
6.85,470.81
6.86,474.12
6.87,477.45
6.88,480.78
6.89,484.13
6.9,487.5
6.91,490.87
6.92,494.26
6.93,497.66
6.94,501.07
6.95,504.5
6.96,507.93
6.97,511.39
6.98,514.85
6.99,518.33
7,521.82
